"CDR_ID","CALLING_MSISDN","CALLED_MSISDN","CALL_START_TIME","CALL_END_TIME","CALL_DURATION_SECONDS","CALL_TYPE","CELL_ID","IMSI","IMEI","CALL_CHARGE"
4008,"+251725155096","+25179947122.",08-JUN-23 02.47.26.156009000 PM,08-JUN-23 03.39.33.156009000 PM,3127,"National","CELL0008","IMSI000000022761686","IMEI000000023327660",31.27
4009,"+251725155096","+251776298918",17-AUG-23 01.53.53.866275000 PM,17-AUG-23 02.42.47.866275000 PM,2934,"National","CELL0009","IMSI000000041123212","IMEI000000061634270",29.34
4010,"+251725155096","+251744747905",17-MAY-23 12.43.36.508355000 PM,17-MAY-23 01.17.20.508355000 PM,2024,"National","CELL0010","IMSI000000821560565","IMEI000000790204058",20.24
4011,"+251725155096","+251775444426",29-AUG-23 11.44.40.839831000 PM,30-AUG-23 12.18.09.839831000 AM,2009,"Local","CELL0011","IMSI000000338155696","IMEI000000844672032",10.05
4012,"+251725155096","+251731818741",17-JUL-23 10.41.22.594266000 PM,17-JUL-23 11.15.18.594266000 PM,2036,"National","CELL0012","IMSI000000197441956","IMEI000000307204974",20.36
4013,"+251725155096","+251701849107",11-JUN-23 09.21.39.426434000 PM,11-JUN-23 09.39.36.426434000 PM,1077,"Roaming","CELL0013","IMSI000000393535151","IMEI000000081944826",32.31
4014,"+251725155096","+251756358476",09-JUN-23 08.25.34.555374000 PM,09-JUN-23 09.06.38.555374000 PM,2464,"Local","CELL0014","IMSI000000109404237","IMEI000000634058269",12.32
4015,"+251738442549","+251785484729",23-NOV-23 11.07.31.307492000 AM,23-NOV-23 12.06.48.307492000 PM,3557,"Local","CELL0015","IMSI000000918932950","IMEI000000632563828",17.79
4016,"+251738442549","+251717698070",28-SEP-23 05.43.51.059010000 AM,28-SEP-23 05.51.51.059010000 AM,480,"Local","CELL0016","IMSI000000546445371","IMEI000000444454085",2.4
4017,"+251738442549","+251757906080",11-NOV-23 11.28.19.836653000 AM,11-NOV-23 11.43.57.836653000 AM,938,"Local","CELL0017","IMSI000000641234412","IMEI000000195992602",4.69
4018,"+251738442549","+251775117184",24-OCT-23 03.21.46.098382000 PM,24-OCT-23 03.34.25.098382000 PM,759,"International","CELL0018","IMSI000000351665696","IMEI000000989531140",37.95
4019,"+251738442549","+251788684740",02-NOV-23 04.14.52.533154000 PM,02-NOV-23 04.49.52.533154000 PM,2100,"National","CELL0019","IMSI000000231380273","IMEI000000016519002",21
4020,"+251738442549","+251782144804",03-DEC-23 02.03.46.359264000 PM,03-DEC-23 02.20.01.359264000 PM,975,"National","CELL0020","IMSI000000844547633","IMEI000000979054917",9.75
4021,"+251738442549","+251761024928",16-DEC-23 01.34.50.388796000 AM,16-DEC-23 02.11.21.388796000 AM,2191,"Local","CELL0021","IMSI000000881498047","IMEI000000534757089",10.96
4022,"+251738442549","+251701534000",02-OCT-23 06.17.55.978682000 AM,02-OCT-23 06.53.30.978682000 AM,2135,"International","CELL0022","IMSI000000147210789","IMEI000000022063663",106.75
4023,"+251738442549","+251729598379",10-DEC-23 06.42.43.323684000 AM,10-DEC-23 07.08.48.323684000 AM,1565,"National","CELL0023","IMSI000000993091249","IMEI000000010558869",15.65
4024,"+251738442549","+251769118622",25-SEP-23 06.36.47.898909000 AM,25-SEP-23 07.31.26.898909000 AM,3279,"Local","CELL0024","IMSI000000103662514","IMEI000000957451863",16.4
4025,"+251738442549","+251798885847",10-OCT-23 02.45.21.155798000 PM,10-OCT-23 02.55.49.155798000 PM,628,"Local","CELL0025","IMSI000000291686772","IMEI000000536936929",3.14
4026,"+251742883643","+25178953613.",07-JUL-25 03.06.46.808343000 AM,07-JUL-25 03.21.13.808343000 AM,867,"National","CELL0026","IMSI000000681464045","IMEI000000239808002",8.67
4027,"+251742883643","+251741110393",23-AUG-25 04.47.35.815067000 PM,23-AUG-25 05.28.15.815067000 PM,2440,"Roaming","CELL0027","IMSI000000030588117","IMEI000000466380866",73.2
4028,"+251742883643","+251741103394",07-SEP-25 12.56.21.779769000 PM,07-SEP-25 12.59.43.779769000 PM,202,"National","CELL0028","IMSI000000307786573","IMEI000000650572150",2.02
4029,"+251742883643","+251769426219",19-JUN-25 11.01.50.124229000 PM,19-JUN-25 11.04.39.124229000 PM,169,"Roaming","CELL0029","IMSI000000777729784","IMEI000000014692816",5.07
4030,"+251742883643","+251782797470",19-JUL-25 01.17.12.916690000 AM,19-JUL-25 02.14.00.916690000 AM,3408,"National","CELL0030","IMSI000000321314922","IMEI000000492098235",34.08
4031,"+251742883643","+251773112789",02-JUL-25 04.07.31.147465000 AM,02-JUL-25 04.36.22.147465000 AM,1731,"National","CELL0031","IMSI000000547564330","IMEI000000100994191",17.31
4032,"+251742883643","+251778747821",19-MAY-25 10.28.30.141504000 AM,19-MAY-25 10.44.43.141504000 AM,973,"Local","CELL0032","IMSI000000100641088","IMEI000000612524244",4.87
4033,"+251742883643","+251748766767",27-MAY-25 11.48.36.838077000 PM,28-MAY-25 12.03.15.838077000 AM,879,"Local","CELL0033","IMSI000000804461108","IMEI000000361239708",4.4
4034,"+251742883643","+251745039171",28-JUL-25 04.52.27.002067000 PM,28-JUL-25 05.30.51.002067000 PM,2304,"Local","CELL0034","IMSI000000401031122","IMEI000000101044246",11.52
4035,"+251742883643","+251757169403",09-SEP-25 01.59.35.782418000 PM,09-SEP-25 02.56.36.782418000 PM,3421,"Roaming","CELL0035","IMSI000000520353925","IMEI000000656944986",102.63
4036,"+251754512264","+251754399930",10-FEB-24 09.33.28.925175000 AM,10-FEB-24 09.38.23.925175000 AM,295,"National","CELL0036","IMSI000000279921645","IMEI000000529350496",2.95
4037,"+251754512264","+251779732686",22-DEC-23 08.47.15.924973000 PM,22-DEC-23 09.35.37.924973000 PM,2902,"Local","CELL0037","IMSI000000110642600","IMEI000000567159595",14.51
4038,"+251754512264","+251752313332",06-DEC-23 10.29.14.749231000 PM,06-DEC-23 10.44.26.749231000 PM,912,"National","CELL0038","IMSI000000261921168","IMEI000000685227687",9.12
4039,"+251754512264","+251703872868",18-FEB-24 05.07.58.963327000 PM,18-FEB-24 06.01.19.963327000 PM,3201,"National","CELL0039","IMSI000000993954754","IMEI000000681529138",32.01
4040,"+251754512264","+251772409681",01-FEB-24 12.41.19.646044000 AM,01-FEB-24 01.28.25.646044000 AM,2826,"Roaming","CELL0040","IMSI000000236679410","IMEI000000701757773",84.78
4041,"+251754512264","+251797212135",19-JAN-24 06.19.30.689950000 PM,19-JAN-24 06.22.08.689950000 PM,158,"Roaming","CELL0041","IMSI000000138017143","IMEI000000754718752",4.74
4042,"+251754512264","+251722754922",03-FEB-24 11.56.51.793593000 PM,04-FEB-24 12.48.17.793593000 AM,3086,"International","CELL0042","IMSI000000101539419","IMEI000000567020268",154.3
4043,"+251754512264","+251765668654",03-JAN-24 03.11.48.707067000 PM,03-JAN-24 03.52.08.707067000 PM,2420,"Local","CELL0043","IMSI000000616149540","IMEI000000459191279",12.1
4044,"+251754512264","+251788047393",28-MAR-24 07.35.47.260428000 AM,28-MAR-24 08.07.23.260428000 AM,1896,"National","CELL0044","IMSI000000076174665","IMEI000000866729009",18.96
4045,"+251754512264","+251747581000",24-FEB-24 12.57.08.272370000 AM,24-FEB-24 01.02.20.272370000 AM,312,"Local","CELL0045","IMSI000000824443251","IMEI000000688956497",1.56
4046,"+251754512264","+251787774623",26-DEC-23 08.55.16.683505000 PM,26-DEC-23 09.14.21.683505000 PM,1145,"National","CELL0046","IMSI000000777811009","IMEI000000094253406",11.45
4047,"+251754512264","+251782354499",29-MAR-24 05.42.37.969414000 AM,29-MAR-24 06.25.26.969414000 AM,2569,"Local","CELL0047","IMSI000000780489774","IMEI000000190255447",12.85
4048,"+251754512264","+251706207064",07-JAN-24 02.09.54.589808000 AM,07-JAN-24 02.43.22.589808000 AM,2008,"National","CELL0048","IMSI000000647511578","IMEI000000502249397",20.08
4049,"+251754512264","+251731672182",19-DEC-23 02.17.55.832157000 PM,19-DEC-23 03.11.34.832157000 PM,3219,"National","CELL0049","IMSI000000747056158","IMEI000000507921704",32.19
4050,"+251754512264","+251752741767",18-FEB-24 05.06.49.297325000 AM,18-FEB-24 05.11.25.297325000 AM,276,"National","CELL0050","IMSI000000542558641","IMEI000000760059241",2.76
4051,"+251763527106","+251750777601",27-SEP-25 06.33.26.844309000 AM,27-SEP-25 07.24.36.844309000 AM,3070,"Local","CELL0051","IMSI000000619706390","IMEI000000351069708",15.35
4052,"+251763527106","+251736115958",15-OCT-25 08.56.45.376525000 AM,15-OCT-25 09.48.08.376525000 AM,3083,"Roaming","CELL0052","IMSI000000995442054","IMEI000000221746228",92.49
4053,"+251763527106","+251772275658",01-NOV-25 02.28.51.554817000 PM,01-NOV-25 02.33.27.554817000 PM,276,"Local","CELL0053","IMSI000000837229061","IMEI000000630999437",1.38
4054,"+251763527106","+251736609818",02-OCT-25 01.06.00.386389000 AM,02-OCT-25 01.49.16.386389000 AM,2596,"National","CELL0054","IMSI000000870184173","IMEI000000173348206",25.96
4055,"+251763527106","+251737128524",16-DEC-25 07.04.09.586427000 PM,16-DEC-25 08.03.56.586427000 PM,3587,"National","CELL0055","IMSI000000791090272","IMEI000000873925887",35.87
4056,"+251763527106","+251749525433",19-NOV-25 04.32.38.239373000 AM,19-NOV-25 05.18.21.239373000 AM,2743,"Local","CELL0056","IMSI000000600920270","IMEI000000518876347",13.72
4057,"+251775628492","+251747348911",19-SEP-24 12.13.43.861340000 AM,19-SEP-24 12.40.37.861340000 AM,1614,"Local","CELL0057","IMSI000000659742881","IMEI000000594328309",8.07
4058,"+251775628492","+251766586417",24-JUN-24 10.19.20.571396000 AM,24-JUN-24 10.22.50.571396000 AM,210,"Local","CELL0058","IMSI000000245075866","IMEI000000386686235",1.05
4059,"+251775628492","+251721696977",04-JUL-24 05.38.47.793428000 AM,04-JUL-24 06.38.21.793428000 AM,3574,"National","CELL0059","IMSI000000145074672","IMEI000000192768280",35.74
4060,"+251775628492","+251749376129",05-JUL-24 06.20.13.913293000 PM,05-JUL-24 06.38.26.913293000 PM,1093,"Roaming","CELL0060","IMSI000000675139906","IMEI000000064382396",32.79
4061,"+251775628492","+251738586234",11-JUL-24 03.08.45.490321000 AM,11-JUL-24 03.32.19.490321000 AM,1414,"Local","CELL0061","IMSI000000224291692","IMEI000000941910085",7.07
4062,"+251775628492","+251797212135",08-AUG-24 07.49.55.692163000 AM,08-AUG-24 08.45.56.692163000 AM,3361,"Local","CELL0062","IMSI000000854639334","IMEI000000360368668",16.81
4063,"+251775628492","+251774919995",30-JUN-24 05.19.48.986552000 PM,30-JUN-24 05.40.17.986552000 PM,1229,"National","CELL0063","IMSI000000356323647","IMEI000000337245992",12.29
4064,"+251775628492","+251723761809",03-JUL-24 12.36.17.855211000 AM,03-JUL-24 01.08.08.855211000 AM,1911,"Local","CELL0064","IMSI000000931854923","IMEI000000672535701",9.56
4065,"+251775628492","+251779071520",02-JUL-24 08.47.01.138760000 AM,02-JUL-24 09.37.06.138760000 AM,3005,"Local","CELL0065","IMSI000000680392475","IMEI000000724792758",15.03
4066,"+251782009042","+251755135100",17-MAR-25 02.25.43.363259000 PM,17-MAR-25 02.56.06.363259000 PM,1823,"Local","CELL0066","IMSI000000131502600","IMEI000000961114061",9.12
4067,"+251782009042","+251734921540",19-JUN-25 11.26.36.724232000 AM,19-JUN-25 11.51.19.724232000 AM,1483,"International","CELL0067","IMSI000000178390623","IMEI000000078320600",74.15
4068,"+251782009042","+251782612064",07-APR-25 08.06.23.376571000 PM,07-APR-25 08.57.29.376571000 PM,3066,"Local","CELL0068","IMSI000000233639424","IMEI000000235829552",15.33
4069,"+251782009042","+251787750013",19-MAR-25 06.08.18.002128000 AM,19-MAR-25 06.39.22.002128000 AM,1864,"National","CELL0069","IMSI000000872784090","IMEI000000010945299",18.64
4070,"+251782009042","+251727894536",28-JUN-25 07.50.49.463366000 PM,28-JUN-25 08.24.43.463366000 PM,2034,"Local","CELL0070","IMSI000000831399961","IMEI000000019368824",10.17
4071,"+251782009042","+251783567617",11-JUN-25 07.18.02.899516000 PM,11-JUN-25 07.18.39.899516000 PM,37,"Roaming","CELL0071","IMSI000000506031202","IMEI000000718321689",1.11
4072,"+251782009042","+251742551162",04-MAY-25 02.21.57.609195000 PM,04-MAY-25 02.25.47.609195000 PM,230,"Local","CELL0072","IMSI000000134590748","IMEI000000774265260",1.15
4073,"+251782009042","+251735178322",15-JUN-25 01.44.22.877805000 PM,15-JUN-25 02.21.06.877805000 PM,2204,"National","CELL0073","IMSI000000719253604","IMEI000000572995979",22.04
4074,"+2517954606.6","+251762717532",31-DEC-25 12.00.00.000000000 AM,31-DEC-25 12.33.29.000000000 AM,2009,"National","CELL0074","IMSI000000036419510","IMEI000000991345152",20.09
4075,"+2517954606.6","+251771403235",31-DEC-25 12.00.00.000000000 AM,31-DEC-25 12.10.29.000000000 AM,629,"Local","CELL0075","IMSI000000029258458","IMEI000000345416481",3.15
4076,"+2517954606.6","+251774096636",04-JAN-26 06.47.54.571324000 AM,04-JAN-26 07.34.14.571324000 AM,2780,"Local","CELL0076","IMSI000000144046348","IMEI000000143470373",13.9
4077,"+2517954606.6","+251785848411",29-JAN-26 08.52.46.305260000 PM,29-JAN-26 09.32.39.305260000 PM,2393,"Local","CELL0077","IMSI000000498319852","IMEI000000116020022",11.97
4078,"+2517954606.6","+251710828627",14-JAN-26 02.37.59.364215000 PM,14-JAN-26 02.41.42.364215000 PM,223,"Roaming","CELL0078","IMSI000000713126729","IMEI000000015001634",6.69
4079,"+2517954606.6","+251777501207",15-DEC-25 04.16.11.035957000 AM,15-DEC-25 04.54.26.035957000 AM,2295,"Local","CELL0079","IMSI000000481497878","IMEI000000461067799",11.48
4080,"+2517954606.6","+251755558990",31-DEC-25 12.00.00.000000000 AM,31-DEC-25 12.23.49.000000000 AM,1429,"National","CELL0080","IMSI000000767035890","IMEI000000609329452",14.29
4081,"+2517954606.6","+251735679319",31-DEC-25 12.00.00.000000000 AM,31-DEC-25 12.38.57.000000000 AM,2337,"National","CELL0081","IMSI000000672085042","IMEI000000247157410",23.37
4082,"+2517954606.6","+251701083407",30-DEC-25 05.46.08.394605000 PM,30-DEC-25 06.03.03.394605000 PM,1015,"International","CELL0082","IMSI000000645649257","IMEI000000364459855",50.75
4083,"+251732032442","+251797295939",27-OCT-24 06.51.48.157652000 PM,27-OCT-24 07.19.11.157652000 PM,1643,"Roaming","CELL0083","IMSI000000904498350","IMEI000000314230394",49.29
4084,"+251732032442","+251762394922",24-DEC-24 07.49.44.872992000 PM,24-DEC-24 08.40.56.872992000 PM,3072,"Local","CELL0084","IMSI000000242028937","IMEI000000255000426",15.36
4085,"+251732032442","+251729750013",26-JAN-25 09.39.52.192843000 AM,26-JAN-25 09.58.52.192843000 AM,1140,"Roaming","CELL0085","IMSI000000252975674","IMEI000000503011341",34.2
4086,"+251732032442","+25179104067.",03-FEB-25 02.17.01.880683000 PM,03-FEB-25 02.36.48.880683000 PM,1187,"Local","CELL0086","IMSI000000070351623","IMEI000000022660328",5.94
4087,"+251732032442","+251785961034",25-FEB-25 10.06.38.538135000 PM,25-FEB-25 11.03.28.538135000 PM,3410,"International","CELL0087","IMSI000000170115261","IMEI000000038185867",170.5
4088,"+251732032442","+251775712719",13-NOV-24 12.16.48.773637000 PM,13-NOV-24 12.52.30.773637000 PM,2142,"National","CELL0088","IMSI000000815526450","IMEI000000735496463",21.42
4089,"+251732032442","+251755414416",22-DEC-24 01.09.45.991136000 PM,22-DEC-24 01.39.42.991136000 PM,1797,"National","CELL0089","IMSI000000189226569","IMEI000000510122198",17.97
4090,"+251732032442","+251797674013",11-NOV-24 01.22.27.603943000 AM,11-NOV-24 02.03.52.603943000 AM,2485,"Local","CELL0090","IMSI000000331662401","IMEI000000862876798",12.43
4091,"+251749516822","+251774927424",20-NOV-22 05.55.50.377371000 AM,20-NOV-22 06.43.57.377371000 AM,2887,"Local","CELL0091","IMSI000000204167196","IMEI000000513096952",14.44
4092,"+251749516822","+251757027505",11-DEC-22 06.15.32.372694000 PM,11-DEC-22 07.02.01.372694000 PM,2789,"Roaming","CELL0092","IMSI000000491352886","IMEI000000484102000",83.67
4093,"+251749516822","+251734075306",18-DEC-22 04.03.05.867126000 PM,18-DEC-22 04.11.12.867126000 PM,487,"International","CELL0093","IMSI000000338938362","IMEI000000358253402",24.35
4094,"+251749516822","+251785905478",15-OCT-22 01.28.31.919950000 PM,15-OCT-22 02.05.45.919950000 PM,2234,"Local","CELL0094","IMSI000000727720259","IMEI000000046592398",11.17
4095,"+251749516822","+251782144804",16-OCT-22 07.34.08.546356000 PM,16-OCT-22 08.17.13.546356000 PM,2585,"Local","CELL0095","IMSI000000819305922","IMEI000000629389326",12.93
4096,"+251749516822","+251720675468",22-SEP-22 07.53.31.321564000 PM,22-SEP-22 08.27.37.321564000 PM,2046,"National","CELL0096","IMSI000000782125040","IMEI000000878345813",20.46
4097,"+251752256474","+251754350199",04-JAN-24 09.10.56.883965000 AM,04-JAN-24 09.13.50.883965000 AM,174,"Local","CELL0097","IMSI000000514285171","IMEI000000235944685",0.87
4098,"+251752256474","+251728464884",15-NOV-23 11.41.29.128539000 PM,15-NOV-23 11.47.19.128539000 PM,350,"Local","CELL0098","IMSI000000863275279","IMEI000000619616814",1.75
4099,"+251752256474","+251762131772",29-NOV-23 08.10.27.401702000 PM,29-NOV-23 08.15.56.401702000 PM,329,"National","CELL0099","IMSI000000058373301","IMEI000000871677544",3.29
4100,"+251752256474","+251732051168",19-NOV-23 02.10.49.736363000 PM,19-NOV-23 02.12.23.736363000 PM,94,"National","CELL0100","IMSI000000770186653","IMEI000000822836037",0.94
4101,"+251752256474","+251732250246",02-JAN-24 02.32.53.345746000 PM,02-JAN-24 02.46.37.345746000 PM,824,"Roaming","CELL0101","IMSI000000921724543","IMEI000000475381558",24.72
4102,"+251752256474","+251774168980",04-DEC-23 03.20.32.344136000 PM,04-DEC-23 03.21.54.344136000 PM,82,"Local","CELL0102","IMSI000000104689674","IMEI000000065808158",0.41
4103,"+251752256474","+251751097004",19-FEB-24 07.09.29.399096000 AM,19-FEB-24 07.18.42.399096000 AM,553,"Local","CELL0103","IMSI000000406937415","IMEI000000532251453",2.77
4104,"+251752256474","+251781905410",13-MAR-24 04.57.44.757500000 AM,13-MAR-24 05.17.57.757500000 AM,1213,"National","CELL0104","IMSI000000442956512","IMEI000000196555506",12.13
4105,"+251752256474","+251742312252",15-MAR-24 01.38.26.651420000 AM,15-MAR-24 01.40.32.651420000 AM,126,"International","CELL0105","IMSI000000439467292","IMEI000000680187710",6.3
4106,"+251752256474","+251781353882",28-FEB-24 09.52.37.579346000 AM,28-FEB-24 10.18.13.579346000 AM,1536,"National","CELL0106","IMSI000000058051780","IMEI000000331728204",15.36
4107,"+251752256474","+25171702471.",18-NOV-23 12.09.24.973630000 PM,18-NOV-23 01.00.55.973630000 PM,3091,"International","CELL0107","IMSI000000529665969","IMEI000000164885710",154.55
4108,"+251752256474","+251702687145",09-MAR-24 04.49.23.804289000 AM,09-MAR-24 05.35.41.804289000 AM,2778,"Local","CELL0108","IMSI000000294384878","IMEI000000442151012",13.89
4109,"+251752256474","+25179233446.",25-JAN-24 10.07.40.840929000 AM,25-JAN-24 10.36.55.840929000 AM,1755,"Roaming","CELL0109","IMSI000000494170340","IMEI000000620879871",52.65
4110,"+251752256474","+251741352927",25-FEB-24 03.48.18.211828000 AM,25-FEB-24 04.05.09.211828000 AM,1011,"Roaming","CELL0110","IMSI000000147188003","IMEI000000432137887",30.33
4111,"+251764398142","+251791283938",23-SEP-23 09.59.36.801519000 AM,23-SEP-23 10.55.39.801519000 AM,3363,"National","CELL0111","IMSI000000900722088","IMEI000000713450365",33.63
4112,"+251764398142","+25178378487.",08-JAN-24 09.57.10.237828000 AM,08-JAN-24 10.48.12.237828000 AM,3062,"Roaming","CELL0112","IMSI000000779749377","IMEI000000722501994",91.86
4113,"+251764398142","+251717057144",21-OCT-23 06.52.05.083496000 PM,21-OCT-23 07.08.16.083496000 PM,971,"Local","CELL0113","IMSI000000624359348","IMEI000000417156071",4.86
4114,"+251764398142","+251747581000",19-JAN-24 01.08.36.377573000 AM,19-JAN-24 01.58.48.377573000 AM,3012,"Local","CELL0114","IMSI000000566374463","IMEI000000512729547",15.06
4115,"+251764398142","+251736981774",21-DEC-23 05.07.30.309885000 PM,21-DEC-23 05.08.42.309885000 PM,72,"Local","CELL0115","IMSI000000648273698","IMEI000000820103101",0.36
4116,"+251764398142","+251721324724",24-DEC-23 04.22.12.669553000 AM,24-DEC-23 05.04.31.669553000 AM,2539,"Roaming","CELL0116","IMSI000000070748085","IMEI000000055175012",76.17
4117,"+251764398142","+251772878150",12-NOV-23 01.53.58.243717000 AM,12-NOV-23 02.31.23.243717000 AM,2245,"Local","CELL0117","IMSI000000120714859","IMEI000000835921999",11.23
4118,"+251764398142","+251798203915",25-SEP-23 08.31.06.003358000 AM,25-SEP-23 09.19.24.003358000 AM,2898,"Local","CELL0118","IMSI000000006444364","IMEI000000749121088",14.49
4119,"+251764398142","+251705895041",13-NOV-23 07.19.28.246854000 AM,13-NOV-23 08.18.31.246854000 AM,3543,"National","CELL0119","IMSI000000170608459","IMEI000000990585565",35.43
4120,"+251764398142","+251763272385",05-NOV-23 03.13.26.887385000 PM,05-NOV-23 03.46.50.887385000 PM,2004,"National","CELL0120","IMSI000000127526381","IMEI000000713576584",20.04
4121,"+251764398142","+251734754220",10-NOV-23 04.30.32.618203000 PM,10-NOV-23 05.01.47.618203000 PM,1875,"Local","CELL0121","IMSI000000081300030","IMEI000000145270554",9.38
4122,"+251779942917","+251757390030",25-MAR-24 05.32.46.830242000 PM,25-MAR-24 06.19.29.830242000 PM,2803,"Local","CELL0122","IMSI000000082963602","IMEI000000829146953",14.02
4123,"+251779942917","+251722728331",09-FEB-24 03.39.42.408262000 PM,09-FEB-24 04.04.59.408262000 PM,1517,"Local","CELL0123","IMSI000000050548395","IMEI000000386375723",7.59
4124,"+251779942917","+251788507582",17-APR-24 08.42.54.590655000 PM,17-APR-24 09.16.42.590655000 PM,2028,"Local","CELL0124","IMSI000000610895958","IMEI000000651563676",10.14
4125,"+251779942917","+251767529259",26-APR-24 06.04.46.170866000 AM,26-APR-24 06.10.33.170866000 AM,347,"National","CELL0125","IMSI000000142652737","IMEI000000647303703",3.47
4126,"+251779942917","+251784205288",26-MAR-24 07.58.50.292000000 AM,26-MAR-24 08.54.52.292000000 AM,3362,"Local","CELL0126","IMSI000000047457710","IMEI000000862067178",16.81
4127,"+251779942917","+251754356947",12-MAR-24 07.16.25.852161000 AM,12-MAR-24 07.59.24.852161000 AM,2579,"Local","CELL0127","IMSI000000069591621","IMEI000000017628912",12.9
4128,"+251779942917","+251706992969",21-JAN-24 06.06.16.308041000 AM,21-JAN-24 06.15.44.308041000 AM,568,"National","CELL0128","IMSI000000239596768","IMEI000000260921133",5.68
4129,"+251779942917","+251782234627",01-APR-24 12.19.24.783517000 AM,01-APR-24 01.11.37.783517000 AM,3133,"International","CELL0129","IMSI000000003533361","IMEI000000752247854",156.65
4130,"+251779942917","+251743145489",22-APR-24 04.51.44.713239000 AM,22-APR-24 05.48.14.713239000 AM,3390,"National","CELL0130","IMSI000000770935350","IMEI000000830368177",33.9
4131,"+251779942917","+251793739460",09-MAR-24 04.12.24.112184000 PM,09-MAR-24 04.58.16.112184000 PM,2752,"Local","CELL0131","IMSI000000874456125","IMEI000000018523153",13.76
4132,"+251779942917","+251758877847",12-APR-24 11.21.33.301404000 AM,12-APR-24 12.15.44.301404000 PM,3251,"International","CELL0132","IMSI000000187758542","IMEI000000560068854",162.55
4133,"+251779942917","+251771185575",19-MAY-24 10.25.47.278597000 AM,19-MAY-24 10.55.58.278597000 AM,1811,"Local","CELL0133","IMSI000000505348452","IMEI000000578942066",9.06
4134,"+251779942917","+251771540311",26-APR-24 06.55.28.629107000 PM,26-APR-24 07.32.31.629107000 PM,2223,"International","CELL0134","IMSI000000916198640","IMEI000000966047632",111.15
4135,"+251779942917","+251740677553",04-MAY-24 03.22.43.595411000 AM,04-MAY-24 03.29.39.595411000 AM,416,"Local","CELL0135","IMSI000000776192643","IMEI000000279053637",2.08
4136,"+251781391156","+251716255705",18-FEB-25 09.41.07.189263000 PM,18-FEB-25 10.05.03.189263000 PM,1436,"Roaming","CELL0136","IMSI000000805531636","IMEI000000329629997",43.08
4137,"+251781391156","+251756705962",16-FEB-25 04.16.01.562164000 PM,16-FEB-25 04.29.17.562164000 PM,796,"International","CELL0137","IMSI000000407812209","IMEI000000073330164",39.8
4138,"+251781391156","+251716095229",26-FEB-25 11.53.32.705405000 AM,26-FEB-25 12.24.51.705405000 PM,1879,"National","CELL0138","IMSI000000847633681","IMEI000000073851977",18.79
4139,"+251781391156","+251769118622",27-MAR-25 07.37.33.921077000 AM,27-MAR-25 08.16.44.921077000 AM,2351,"Local","CELL0139","IMSI000000432462570","IMEI000000913575045",11.76
4140,"+251781391156","+251734958817",02-DEC-24 12.04.23.615111000 PM,02-DEC-24 12.24.39.615111000 PM,1216,"Roaming","CELL0140","IMSI000000651409658","IMEI000000838358918",36.48
4141,"+251781391156","+251735730062",25-DEC-24 10.37.14.756636000 AM,25-DEC-24 11.15.08.756636000 AM,2274,"National","CELL0141","IMSI000000555376154","IMEI000000226184762",22.74
4142,"+251781391156","+251776687257",27-DEC-24 04.23.27.016519000 AM,27-DEC-24 04.30.27.016519000 AM,420,"Local","CELL0142","IMSI000000928987075","IMEI000000291270040",2.1
4143,"+251781391156","+251763439903",17-FEB-25 02.50.30.308439000 AM,17-FEB-25 03.17.20.308439000 AM,1610,"Local","CELL0143","IMSI000000689651071","IMEI000000923806256",8.05
4144,"+251781391156","+251783990855",04-JAN-25 01.11.03.315109000 AM,04-JAN-25 02.02.17.315109000 AM,3074,"Local","CELL0144","IMSI000000172392974","IMEI000000136348115",15.37
4145,"+251781391156","+251746926637",25-MAR-25 11.14.30.097143000 PM,25-MAR-25 11.53.45.097143000 PM,2355,"National","CELL0145","IMSI000000146904284","IMEI000000517703855",23.55
4146,"+251781391156","+251774486901",12-FEB-25 02.32.42.913571000 AM,12-FEB-25 03.04.47.913571000 AM,1925,"Roaming","CELL0146","IMSI000000124723515","IMEI000000318953959",57.75
4147,"+251793082447","+251781753537",21-MAY-25 06.52.59.535123000 PM,21-MAY-25 07.24.48.535123000 PM,1909,"National","CELL0147","IMSI000000491298731","IMEI000000192019332",19.09
4148,"+251793082447","+251788684740",01-APR-25 09.47.43.074727000 AM,01-APR-25 10.26.17.074727000 AM,2314,"International","CELL0148","IMSI000000375494937","IMEI000000266814976",115.7
4149,"+251793082447","+251773495148",15-MAR-25 03.40.47.557720000 PM,15-MAR-25 04.22.01.557720000 PM,2474,"Local","CELL0149","IMSI000000563213197","IMEI000000778672588",12.37
4150,"+251793082447","+251733793241",06-MAY-25 10.05.29.620646000 PM,06-MAY-25 10.45.50.620646000 PM,2421,"National","CELL0150","IMSI000000228471459","IMEI000000185031207",24.21
4151,"+251793082447","+251761960017",12-MAY-25 01.00.26.567347000 AM,12-MAY-25 01.20.39.567347000 AM,1213,"Local","CELL0151","IMSI000000406976310","IMEI000000404775048",6.07
4152,"+251793082447","+251722399435",26-MAR-25 02.22.46.684333000 PM,26-MAR-25 02.28.53.684333000 PM,367,"Local","CELL0152","IMSI000000440292871","IMEI000000207184629",1.84
4153,"+251793082447","+251741595164",18-MAY-25 04.27.13.022695000 AM,18-MAY-25 05.09.04.022695000 AM,2511,"Local","CELL0153","IMSI000000279052511","IMEI000000318383048",12.56
