TRANSACTION_ID,MSISDN,TRANSACTION_TYPE,TRANSACTION_AMOUNT,TRANSACTION_DATE,PAYMENT_METHOD,BALANCE_BEFORE,BALANCE_AFTER
3794,2.51789E+11,Adjustment,6.81,2-Dec-23,Cash,2920.45,2927.26
3795,2.51789E+11,Top-up,215.33,15-Jan-26,Cash,2927.26,3142.59
3796,2.51789E+11,Refund,92.41,18-May-23,Cash,3142.59,3235
3797,2.51789E+11,Top-up,250.75,16-Nov-24,Cash,3235,3485.75
3798,2.51798E+11,Adjustment,33.41,20-Nov-25,Bank Transfer,317,350.41
3799,2.51798E+11,Top-up,199.02,7-Jul-24,Cash,350.41,549.43
3800,2.51798E+11,Top-up,395.36,30-Sep-24,M-PESA,549.43,944.79
3801,2.51798E+11,Top-up,223.54,11-Feb-25,Bank Transfer,944.79,1168.33
3802,2.51798E+11,Top-up,197.37,1-Mar-25,Cash,1168.33,1365.7
3803,2.51798E+11,Top-up,305.94,27-Jun-25,Cash,1365.7,1671.64
3804,2.51798E+11,Top-up,182.73,1-Dec-24,Cash,1671.64,1854.37
3805,2.51798E+11,Top-up,105.38,19-Nov-24,Cash,1854.37,1959.75
3806,2.51798E+11,Top-up,68.17,17-Dec-25,Bank Transfer,1959.75,2027.92
3807,2.51798E+11,Top-up,146.73,15-Jun-24,Cash,2027.92,2174.65
3808,2.51798E+11,Top-up,143.26,12-May-24,Cash,2174.65,2317.91
3809,2.51798E+11,Top-up,367.25,18-Apr-25,Cash,2317.91,2685.16
3810,2.51798E+11,Adjustment,23.53,2-Dec-24,Cash,2685.16,2708.69
3811,2.51798E+11,Top-up,165.07,21-Apr-24,M-PESA,2708.69,2873.76
3812,2.51798E+11,Payment,26.74,14-Jun-25,Bank Transfer,2873.76,2847.02
3813,2.51798E+11,Top-up,397.62,28-Nov-25,Cash,2847.02,3244.64
3814,2.51798E+11,Top-up,87.95,11-Aug-25,Cash,3244.64,3332.59
3815,2.51798E+11,Top-up,480.32,13-May-24,Cash,3332.59,3812.91
3816,2.51703E+11,Payment,133.26,25-Oct-25,Cash,149.67,282.93
3817,2.51703E+11,Monthly Bill,111.82,11-Aug-25,Bank Transfer,282.93,171.11
3818,2.51703E+11,Payment,105.19,12-Oct-25,Bank Transfer,171.11,276.3
3819,2.51703E+11,Monthly Bill,79.64,3-Dec-25,Cash,276.3,196.66
3820,2.51703E+11,Payment,97.59,6-Jun-25,M-PESA,196.66,294.25
3821,2.51703E+11,Monthly Bill,57.62,27-Jun-25,Bank Transfer,294.25,236.63
3822,2.51703E+11,Payment,262.02,24-Jan-26,Bank Transfer,236.63,498.65
3823,2.51703E+11,Monthly Bill,54.74,19-Oct-25,Cash,498.65,443.91
3824,2.51703E+11,Payment,225.15,11-Sep-25,Cash,443.91,669.06
3825,2.51703E+11,Monthly Bill,170.02,12-Jan-26,M-PESA,669.06,499.04
3826,2.51703E+11,Payment,168.9,13-Dec-25,M-PESA,499.04,667.94
3827,2.51703E+11,Top-up,50.26,6-Jun-25,Cash,667.94,718.2
3828,2.51703E+11,Payment,67.62,14-Oct-25,Bank Transfer,718.2,785.82
3829,2.51703E+11,Monthly Bill,194.03,12-Jun-25,M-PESA,785.82,591.79
3830,2.51703E+11,Payment,266.77,12-Jul-25,Bank Transfer,591.79,858.56
3831,2.51703E+11,Monthly Bill,292.12,2-Dec-25,M-PESA,858.56,566.44
3832,2.51703E+11,Payment,221.34,7-Jul-25,Cash,566.44,787.78
3833,2.51703E+11,Monthly Bill,256.36,26-Jul-25,Cash,787.78,531.42
3834,2.51703E+11,Payment,83.59,21-Sep-25,Cash,531.42,615.01
3835,2.51703E+11,Monthly Bill,269.97,16-Jan-26,M-PESA,615.01,345.04
3836,2.51703E+11,Payment,114.87,15-Sep-25,Cash,345.04,459.91
3837,2.51703E+11,Monthly Bill,200.66,15-Jun-25,M-PESA,459.91,259.25
3838,2.51703E+11,Payment,97.53,30-Jun-25,Bank Transfer,259.25,356.78
3839,2.51703E+11,Monthly Bill,230.64,6-Dec-25,Bank Transfer,356.78,126.14
3840,2.51703E+11,Payment,205.6,28-Jul-25,M-PESA,126.14,331.74
3841,2.51703E+11,Monthly Bill,192.8,3-Jun-25,M-PESA,331.74,138.94
3842,2.51703E+11,Adjustment,27.8,20-Jul-25,Bank Transfer,138.94,111.14
3843,2.51703E+11,Monthly Bill,201.91,31-Oct-25,M-PESA,111.14,-90.77
3844,2.51703E+11,Payment,254.24,15-Oct-25,Bank Transfer,-90.77,163.47
3845,2.51703E+11,Monthly Bill,117.26,27-Jan-26,Cash,163.47,46.21
3846,2.51703E+11,Payment,50.19,22-Jul-25,Bank Transfer,46.21,96.4
3847,2.51703E+11,Monthly Bill,224.97,3-Jun-25,Bank Transfer,96.4,-128.57
3848,2.51756E+11,Refund,65.02,24-Apr-24,M-PESA,422.7,487.72
3849,2.51756E+11,Top-up,263.67,31-Jul-24,Bank Transfer,487.72,751.39
3850,2.51756E+11,Payment,100.05,26-Jun-23,M-PESA,751.39,651.34
3851,2.51756E+11,Top-up,115.35,22-Mar-24,Cash,651.34,766.69
3852,2.51756E+11,Top-up,351.96,10-Sep-24,M-PESA,766.69,1118.65
3853,2.51756E+11,Top-up,206.48,24-Nov-23,Cash,1118.65,1325.13
3854,2.51756E+11,Adjustment,81.69,5-Mar-25,Cash,1325.13,1406.82
3855,2.51756E+11,Top-up,203.34,13-Oct-25,M-PESA,1406.82,1610.16
3856,2.51756E+11,Top-up,64.52,30-Oct-24,Cash,1610.16,1674.68
3857,2.51756E+11,Top-up,445.22,11-Sep-25,M-PESA,1674.68,2119.9
3858,2.51756E+11,Top-up,320.23,26-Aug-25,Cash,2119.9,2440.13
3859,2.51756E+11,Refund,82.32,26-Apr-25,Bank Transfer,2440.13,2522.45
3860,2.51756E+11,Top-up,257.52,2-Jan-26,Bank Transfer,2522.45,2779.97
3861,2.51756E+11,Top-up,304.9,1-Nov-23,Cash,2779.97,3084.87
3862,2.51756E+11,Top-up,218.14,16-Dec-23,Cash,3084.87,3303.01
3863,2.51756E+11,Top-up,430.1,3-Oct-24,M-PESA,3303.01,3733.11
3864,2.51762E+11,Monthly Bill,9.46,30-Mar-25,Bank Transfer,159.46,150
3865,2.51762E+11,Monthly Bill,32.99,17-Nov-25,Cash,150,117.01
3866,2.51762E+11,Top-up,213.98,20-Jan-26,Cash,117.01,330.99
3867,2.51762E+11,Top-up,381.98,5-Jan-26,Cash,330.99,712.97
3868,2.51762E+11,Monthly Bill,68.58,16-Dec-25,Bank Transfer,712.97,644.39
3869,2.51762E+11,Refund,4.99,28-Oct-25,Bank Transfer,644.39,649.38
3870,2.51762E+11,Top-up,201.79,18-Mar-25,M-PESA,649.38,851.17
3871,2.51762E+11,Top-up,334.9,20-Sep-25,Cash,851.17,1186.07
3872,2.51762E+11,Payment,83.5,16-Apr-25,Bank Transfer,1186.07,1102.57
3873,2.51762E+11,Top-up,18.88,20-Apr-25,Cash,1102.57,1121.45
3874,2.51762E+11,Adjustment,85.18,21-Apr-25,Cash,1121.45,1206.63
3875,2.51762E+11,Refund,75.58,2-Jan-25,Cash,1206.63,1282.21
3876,2.51762E+11,Top-up,47.37,12-Jan-25,Cash,1282.21,1329.58
3877,2.51762E+11,Top-up,180.03,10-Mar-25,Cash,1329.58,1509.61
3878,2.51762E+11,Top-up,321.28,24-Jan-26,Cash,1509.61,1830.89
3879,2.51762E+11,Top-up,369.1,27-Sep-25,Cash,1830.89,2199.99
3880,2.51762E+11,Top-up,454.2,27-Jan-26,Cash,2199.99,2654.19
3881,2.51762E+11,Adjustment,95.34,19-Mar-25,Bank Transfer,2654.19,2749.53
3882,2.51762E+11,Top-up,110.32,23-Oct-25,Cash,2749.53,2859.85
3883,2.51762E+11,Adjustment,85.16,4-Jan-25,Cash,2859.85,2945.01
3884,2.51762E+11,Adjustment,28.86,18-Feb-25,Bank Transfer,2945.01,2973.87
3885,2.51762E+11,Top-up,456.19,16-Nov-25,Cash,2973.87,3430.06
3886,2.51762E+11,Top-up,14.99,4-Oct-25,Cash,3430.06,3445.05
3887,2.51762E+11,Top-up,196.14,11-Mar-25,Cash,3445.05,3641.19
3888,2.51762E+11,Adjustment,47.11,12-Jan-25,M-PESA,3641.19,3688.3
3889,2.51762E+11,Top-up,334.21,1-Jan-26,Cash,3688.3,4022.51
3890,2.51762E+11,Top-up,416.76,2-Feb-25,Cash,4022.51,4439.27
3891,2.51772E+11,Top-up,41.84,31-Jul-24,Bank Transfer,293.49,335.33
3892,2.51772E+11,Top-up,61.05,18-Feb-24,M-PESA,335.33,396.38
3893,2.51772E+11,Top-up,482.01,4-Mar-25,M-PESA,396.38,878.39
3894,2.51772E+11,Top-up,73,22-Mar-24,Cash,878.39,951.39
3895,2.51772E+11,Top-up,145.38,17-Jun-24,Cash,951.39,1096.77
3896,2.51772E+11,Top-up,111.98,14-Jul-24,Bank Transfer,1096.77,1208.75
3897,2.51772E+11,Top-up,272.02,29-Aug-24,Cash,1208.75,1480.77
3898,2.51772E+11,Top-up,336.26,25-Apr-25,Cash,1480.77,1817.03
3899,2.51772E+11,Top-up,389.83,28-Jun-25,Bank Transfer,1817.03,2206.86
3900,2.51772E+11,Top-up,320.07,20-Aug-25,Cash,2206.86,2526.93
3901,2.51772E+11,Refund,58.85,12-Jun-24,Bank Transfer,2526.93,2585.78
3902,2.51772E+11,Top-up,447.21,2-Feb-24,Bank Transfer,2585.78,3032.99
3903,2.51772E+11,Top-up,57.06,21-Sep-24,Cash,3032.99,3090.05
3904,2.51772E+11,Top-up,310.69,7-Jun-25,Cash,3090.05,3400.74
3905,2.51772E+11,Top-up,358.18,28-Mar-25,Bank Transfer,3400.74,3758.92
3906,2.51772E+11,Adjustment,27.81,6-Aug-25,Cash,3758.92,3786.73
3907,2.51772E+11,Payment,77.14,16-Jan-26,Bank Transfer,3786.73,3709.59
3908,2.51772E+11,Top-up,137.44,7-Dec-24,Bank Transfer,3709.59,3847.03
3909,2.51772E+11,Monthly Bill,68.39,11-Apr-25,M-PESA,3847.03,3778.64
3910,2.51772E+11,Top-up,479.57,9-Aug-25,Cash,3778.64,4258.21
3911,2.51789E+11,Top-up,338.05,23-May-24,Cash,419.89,757.94
3912,2.51789E+11,Top-up,455.68,12-Jan-26,Cash,757.94,1213.62
3913,2.51789E+11,Top-up,331.35,18-Jun-25,Cash,1213.62,1544.97
3914,2.51789E+11,Top-up,409.62,3-Dec-24,Cash,1544.97,1954.59
3915,2.51789E+11,Top-up,311.75,13-Aug-24,M-PESA,1954.59,2266.34
3916,2.51789E+11,Top-up,464.74,9-Jun-25,Cash,2266.34,2731.08
3917,2.51789E+11,Top-up,382.8,4-Nov-24,Cash,2731.08,3113.88
3918,2.51789E+11,Top-up,486.62,12-Dec-25,Cash,3113.88,3600.5
3919,2.51789E+11,Monthly Bill,96.81,30-Oct-24,Cash,3600.5,3503.69
3920,2.51789E+11,Top-up,44.76,22-Jun-25,Cash,3503.69,3548.45
3921,2.51789E+11,Top-up,222.04,14-Jun-25,Cash,3548.45,3770.49
3922,2.51789E+11,Top-up,20.24,8-Apr-25,Cash,3770.49,3790.73
3923,2.51789E+11,Top-up,339.11,16-Sep-24,Bank Transfer,3790.73,4129.84
3924,2.51789E+11,Top-up,351.22,21-Jun-25,Bank Transfer,4129.84,4481.06
3925,2.51789E+11,Monthly Bill,4.22,20-Oct-24,Cash,4481.06,4476.84
3926,2.51789E+11,Top-up,220.61,22-Apr-25,M-PESA,4476.84,4697.45
3927,2.51789E+11,Adjustment,10.67,28-Nov-25,Cash,4697.45,4708.12
3928,2.51789E+11,Top-up,422,30-Jun-24,Cash,4708.12,5130.12
3929,2.51789E+11,Top-up,274.44,18-Dec-24,Cash,5130.12,5404.56
3930,2.51789E+11,Top-up,253.5,5-Oct-25,Cash,5404.56,5658.06
3931,2.51789E+11,Top-up,199.2,23-Feb-25,Cash,5658.06,5857.26
3932,2.51789E+11,Top-up,73.12,25-Aug-25,Cash,5857.26,5930.38
3933,2.51789E+11,Top-up,468.48,4-Nov-24,Cash,5930.38,6398.86
3934,2.51789E+11,Top-up,82.52,6-Sep-24,Cash,6398.86,6481.38
3935,2.51789E+11,Top-up,38.42,20-May-25,Cash,6481.38,6519.8
3936,2.51789E+11,Top-up,374.51,29-May-25,Cash,6519.8,6894.31
3937,2.51789E+11,Top-up,326.09,26-May-25,M-PESA,6894.31,7220.4
3938,2.51789E+11,Monthly Bill,51,31-Dec-25,Cash,7220.4,7169.4
3939,2.51789E+11,Top-up,486.55,9-Jun-24,Bank Transfer,7169.4,7655.95
3940,2.51789E+11,Top-up,180.64,30-Nov-25,Cash,7655.95,7836.59
3941,2.51789E+11,Top-up,338.71,28-Nov-23,M-PESA,7836.59,8175.3
3942,2.51789E+11,Top-up,103.27,21-Jan-26,M-PESA,8175.3,8278.57
3943,2.51789E+11,Top-up,282.51,6-Mar-25,Cash,8278.57,8561.08
3944,2.51789E+11,Top-up,146.7,17-May-24,Cash,8561.08,8707.78
3945,2.51789E+11,Top-up,386.91,27-Nov-23,M-PESA,8707.78,9094.69
3946,2.51789E+11,Top-up,367.74,4-Sep-24,Cash,9094.69,9462.43
3947,2.51789E+11,Top-up,95.5,13-Oct-24,Cash,9462.43,9557.93
3948,2.51789E+11,Top-up,108.17,17-Dec-25,Cash,9557.93,9666.1
3949,2.51789E+11,Monthly Bill,22.82,2-Jul-25,Bank Transfer,9666.1,9643.28
3950,2.51794E+11,Top-up,63.34,31-Aug-25,Cash,245.48,308.82
3951,2.51794E+11,Top-up,391.7,3-Jul-23,Cash,308.82,700.52
3952,2.51794E+11,Payment,10.28,29-Nov-23,Cash,700.52,690.24
3953,2.51794E+11,Top-up,201.85,8-Jul-23,M-PESA,690.24,892.09
3954,2.51794E+11,Payment,94.44,1-Oct-25,Cash,892.09,797.65
3955,2.51794E+11,Top-up,175.98,12-Mar-24,Cash,797.65,973.63
3956,2.51794E+11,Top-up,169.39,8-Mar-23,Cash,973.63,1143.02
3957,2.51794E+11,Top-up,119.2,4-May-25,Bank Transfer,1143.02,1262.22
3958,2.51794E+11,Top-up,34.34,18-Sep-24,Cash,1262.22,1296.56
3959,2.51794E+11,Top-up,152.44,15-Aug-24,Cash,1296.56,1449
3960,2.51794E+11,Top-up,67.76,24-Oct-23,Cash,1449,1516.76
3961,2.51794E+11,Top-up,320.36,25-Oct-24,Bank Transfer,1516.76,1837.12
3962,2.51794E+11,Top-up,61.94,1-May-25,Cash,1837.12,1899.06
3963,2.51794E+11,Top-up,364.75,31-Jan-23,Cash,1899.06,2263.81
3964,2.51794E+11,Top-up,240.28,28-Jul-25,M-PESA,2263.81,2504.09
3965,2.51705E+11,Payment,125.15,1-Jun-25,Bank Transfer,172.45,297.6
3966,2.51705E+11,Monthly Bill,201.84,18-May-25,Cash,297.6,95.76
3967,2.51705E+11,Payment,78.15,2-Dec-25,M-PESA,95.76,173.91
3968,2.51705E+11,Monthly Bill,295.64,8-Nov-25,Cash,173.91,-121.73
3969,2.51705E+11,Payment,255.54,2-Jun-25,M-PESA,-121.73,133.81
3970,2.51705E+11,Monthly Bill,248.11,11-Aug-25,Cash,133.81,-114.3
3971,2.51705E+11,Payment,148.48,25-Sep-25,Bank Transfer,-114.3,34.18
3972,2.51705E+11,Monthly Bill,227.54,5-Oct-25,Cash,34.18,-193.36
3973,2.51705E+11,Adjustment,23.34,20-Apr-25,Bank Transfer,-193.36,-216.7
3974,2.51705E+11,Monthly Bill,169.19,17-Jan-26,Cash,-216.7,-385.89
3975,2.51705E+11,Payment,271.73,2-Apr-25,Bank Transfer,-385.89,-114.16
3976,2.51705E+11,Monthly Bill,71.85,22-Mar-25,M-PESA,-114.16,-186.01
3977,2.51705E+11,Payment,54.65,2-Jan-26,Bank Transfer,-186.01,-131.36
3978,2.51705E+11,Monthly Bill,56.95,12-Jul-25,Cash,-131.36,-188.31
3979,2.51705E+11,Payment,54.59,11-Dec-25,Cash,-188.31,-133.72
3980,2.51705E+11,Monthly Bill,73.75,14-Jun-25,M-PESA,-133.72,-207.47
3981,2.51705E+11,Payment,86.91,22-Jul-25,M-PESA,-207.47,-120.56
3982,2.51705E+11,Monthly Bill,126.77,4-Jul-25,Bank Transfer,-120.56,-247.33
3983,2.51705E+11,Payment,121.4,15-May-25,Cash,-247.33,-125.93
3984,2.51705E+11,Monthly Bill,215.25,27-Jan-25,Bank Transfer,-125.93,-341.18
3985,2.51705E+11,Payment,55.98,7-Aug-25,M-PESA,-341.18,-285.2
3986,2.51705E+11,Monthly Bill,286.54,1-Oct-25,M-PESA,-285.2,-571.74
3987,2.51705E+11,Payment,221.06,9-Jul-25,Bank Transfer,-571.74,-350.68
3988,2.51705E+11,Monthly Bill,269.89,20-Aug-25,M-PESA,-350.68,-620.57
3989,2.51705E+11,Payment,270.59,27-Jan-25,M-PESA,-620.57,-349.98
3990,2.51705E+11,Monthly Bill,191.56,13-Jun-25,M-PESA,-349.98,-541.54
3991,2.51705E+11,Payment,281.9,10-May-25,Cash,-541.54,-259.64
3992,2.51705E+11,Monthly Bill,80.41,4-Oct-25,M-PESA,-259.64,-340.05
3993,2.51705E+11,Payment,248.7,30-Jan-25,M-PESA,-340.05,-91.35
3994,2.51705E+11,Top-up,46.59,29-Jan-25,Bank Transfer,-91.35,-44.76
3995,2.51705E+11,Payment,55.16,20-Feb-25,M-PESA,-44.76,10.4
3996,2.51705E+11,Monthly Bill,138.19,23-Feb-25,M-PESA,10.4,-127.79
3997,2.51705E+11,Payment,157.17,10-Jun-25,Bank Transfer,-127.79,29.38
3998,2.51705E+11,Monthly Bill,260.6,2-Mar-25,Bank Transfer,29.38,-231.22
3999,2.51705E+11,Adjustment,23.3,28-Sep-25,M-PESA,-231.22,-254.52
4000,2.51705E+11,Monthly Bill,269.86,16-Jul-25,M-PESA,-254.52,-524.38
4001,2.51713E+11,Payment,266.62,7-Jan-25,M-PESA,160.53,427.15
4002,2.51713E+11,Monthly Bill,195.28,22-Dec-24,Cash,427.15,231.87
4003,2.51713E+11,Adjustment,51.61,26-Oct-24,Bank Transfer,231.87,180.26
4004,2.51713E+11,Monthly Bill,179.48,13-Jan-26,M-PESA,180.26,0.78
4005,2.51713E+11,Payment,79.62,18-Jun-25,Cash,0.78,80.4
4006,2.51713E+11,Monthly Bill,151.49,18-Dec-22,Cash,80.4,-71.09
4007,2.51713E+11,Payment,183.92,25-May-24,M-PESA,-71.09,112.83
4008,2.51713E+11,Monthly Bill,240.78,22-Oct-23,Bank Transfer,112.83,-127.95
4009,2.51713E+11,Refund,25.18,15-May-25,Cash,-127.95,-102.77
4010,2.51713E+11,Monthly Bill,53.64,10-Dec-23,Bank Transfer,-102.77,-156.41
4011,2.51713E+11,Payment,63.19,7-Nov-23,Cash,-156.41,-93.22
4012,2.51713E+11,Monthly Bill,120.09,7-Jul-24,M-PESA,-93.22,-213.31
4013,2.51713E+11,Payment,88.19,19-Mar-25,Cash,-213.31,-125.12
4014,2.51713E+11,Monthly Bill,280.93,7-Jul-23,M-PESA,-125.12,-406.05
4015,2.51713E+11,Payment,109.54,30-Oct-25,M-PESA,-406.05,-296.51
4016,2.51713E+11,Monthly Bill,258.57,13-Apr-23,Cash,-296.51,-555.08
4017,2.51713E+11,Payment,147.17,22-Apr-23,Cash,-555.08,-407.91
4018,2.51713E+11,Monthly Bill,230.95,26-Dec-22,M-PESA,-407.91,-638.86
4019,2.51713E+11,Refund,34.57,19-Jun-23,Cash,-638.86,-604.29
4020,2.51713E+11,Monthly Bill,138.83,11-Apr-24,M-PESA,-604.29,-743.12
4021,2.51713E+11,Payment,149.17,21-Sep-25,M-PESA,-743.12,-593.95
4022,2.51713E+11,Monthly Bill,282.23,7-Dec-23,M-PESA,-593.95,-876.18
4023,2.51713E+11,Payment,154.46,18-Aug-24,M-PESA,-876.18,-721.72
4024,2.51713E+11,Monthly Bill,148.99,3-Sep-24,Bank Transfer,-721.72,-870.71
4025,2.51713E+11,Top-up,35.93,9-Jul-23,Bank Transfer,-870.71,-834.78
4026,2.51713E+11,Top-up,24.1,19-Mar-24,M-PESA,-834.78,-810.68
4027,2.51713E+11,Payment,152.46,9-Dec-24,M-PESA,-810.68,-658.22
4028,2.51713E+11,Monthly Bill,214.58,15-Aug-23,M-PESA,-658.22,-872.8
4029,2.51725E+11,Top-up,491.02,14-Dec-25,M-PESA,448.38,939.4
4030,2.51725E+11,Top-up,72.96,9-Jan-26,Cash,939.4,1012.36
4031,2.51725E+11,Top-up,239.02,17-Jan-26,Cash,1012.36,1251.38
4032,2.51725E+11,Top-up,127.02,19-Dec-25,Cash,1251.38,1378.4
4033,2.51725E+11,Monthly Bill,94.7,22-Jan-26,Bank Transfer,1378.4,1283.7
4034,2.51725E+11,Top-up,116.69,28-Jan-26,Cash,1283.7,1400.39
4035,2.51725E+11,Top-up,316.72,17-Jan-26,Bank Transfer,1400.39,1717.11
4036,2.51725E+11,Adjustment,26.77,31-Dec-25,Cash,1717.11,1743.88
4037,2.51725E+11,Top-up,498.65,28-Dec-25,M-PESA,1743.88,2242.53
4038,2.51725E+11,Top-up,253.85,4-Jan-26,M-PESA,2242.53,2496.38
4039,2.51725E+11,Top-up,320.48,28-Dec-25,Cash,2496.38,2816.86
4040,2.51725E+11,Top-up,86.08,25-Dec-25,Cash,2816.86,2902.94
4041,2.51725E+11,Top-up,110.68,9-Jan-26,Cash,2902.94,3013.62
4042,2.51725E+11,Monthly Bill,6.78,18-Jan-26,Cash,3013.62,3006.84
4043,2.51725E+11,Top-up,43.12,16-Jan-26,Cash,3006.84,3049.96
4044,2.51725E+11,Top-up,417.33,30-Jan-26,Bank Transfer,3049.96,3467.29
4045,2.51725E+11,Top-up,365.48,19-Dec-25,Bank Transfer,3467.29,3832.77
4046,2.51725E+11,Top-up,269.5,27-Dec-25,Cash,3832.77,4102.27
4047,2.51725E+11,Refund,85.7,18-Dec-25,Bank Transfer,4102.27,4187.97
4048,2.51725E+11,Top-up,470.17,16-Dec-25,Cash,4187.97,4658.14
4049,2.51725E+11,Top-up,268.89,11-Jan-26,Cash,4658.14,4927.03
4050,2.51725E+11,Payment,70.11,21-Dec-25,Cash,4927.03,4856.92
4051,2.51725E+11,Top-up,430.83,11-Jan-26,M-PESA,4856.92,5287.75
4052,2.51725E+11,Top-up,216.35,7-Jan-26,Cash,5287.75,5504.1
4053,2.51725E+11,Refund,91.66,27-Dec-25,M-PESA,5504.1,5595.76
4054,2.51725E+11,Top-up,426.93,3-Jan-26,Cash,5595.76,6022.69
4055,2.51725E+11,Top-up,367.35,11-Dec-25,Cash,6022.69,6390.04
4056,2.51725E+11,Top-up,386.1,12-Dec-25,Cash,6390.04,6776.14
4057,2.51725E+11,Top-up,342.42,18-Jan-26,M-PESA,6776.14,7118.56
4058,2.51725E+11,Top-up,182.73,24-Jan-26,M-PESA,7118.56,7301.29
4059,2.51725E+11,Monthly Bill,25.27,20-Dec-25,Cash,7301.29,7276.02
4060,2.51725E+11,Payment,73.26,31-Dec-25,M-PESA,7276.02,7202.76
4061,2.51725E+11,Top-up,186.63,18-Jan-26,Cash,7202.76,7389.39
4062,2.51725E+11,Top-up,214.85,25-Dec-25,M-PESA,7389.39,7604.24
4063,2.51725E+11,Top-up,17.06,23-Dec-25,Cash,7604.24,7621.3
4064,2.51725E+11,Adjustment,6.94,25-Dec-25,Cash,7621.3,7628.24
4065,2.51725E+11,Top-up,476.03,10-Jan-26,Cash,7628.24,8104.27
4066,2.51739E+11,Top-up,46.12,29-Jan-26,Cash,168.72,214.84
4067,2.51739E+11,Top-up,384.5,15-Dec-25,Cash,214.84,599.34
4068,2.51739E+11,Adjustment,81.37,21-Sep-25,M-PESA,599.34,680.71
4069,2.51739E+11,Top-up,268.59,15-Jul-25,M-PESA,680.71,949.3
4070,2.51739E+11,Monthly Bill,65.83,5-Jan-26,Cash,949.3,883.47
4071,2.51739E+11,Payment,86.47,28-Oct-25,Cash,883.47,797
4072,2.51739E+11,Top-up,495.07,18-Aug-25,M-PESA,797,1292.07
4073,2.51739E+11,Top-up,252.9,20-May-25,Bank Transfer,1292.07,1544.97
4074,2.51739E+11,Top-up,173.8,1-Aug-25,Cash,1544.97,1718.77
4075,2.51739E+11,Top-up,405.91,7-Sep-25,Cash,1718.77,2124.68
4076,2.51739E+11,Top-up,50.66,2-Nov-25,M-PESA,2124.68,2175.34
4077,2.51739E+11,Monthly Bill,21.78,16-May-25,Cash,2175.34,2153.56
4078,2.51739E+11,Adjustment,16.96,3-Oct-25,M-PESA,2153.56,2170.52
4079,2.51739E+11,Adjustment,42.6,10-Nov-25,M-PESA,2170.52,2213.12
4080,2.51739E+11,Top-up,176.63,12-Nov-25,M-PESA,2213.12,2389.75
4081,2.51739E+11,Adjustment,28.61,11-Jun-25,Cash,2389.75,2418.36
4082,2.51745E+11,Monthly Bill,14.66,27-Dec-25,Cash,124.67,110.01
4083,2.51745E+11,Top-up,181.98,26-Jan-26,Cash,110.01,291.99
4084,2.51745E+11,Top-up,402.54,27-Jan-26,M-PESA,291.99,694.53
4085,2.51745E+11,Top-up,99.94,28-Oct-25,Cash,694.53,794.47
4086,2.51745E+11,Top-up,201.62,14-Dec-25,Cash,794.47,996.09
4087,2.51745E+11,Top-up,25.77,13-Oct-25,M-PESA,996.09,1021.86
4088,2.51745E+11,Top-up,185.94,30-Nov-25,Cash,1021.86,1207.8
4089,2.51745E+11,Top-up,107.29,15-Oct-25,Cash,1207.8,1315.09
4090,2.51745E+11,Top-up,214.29,5-Jan-26,Cash,1315.09,1529.38
4091,2.51745E+11,Top-up,259.76,12-Nov-25,Cash,1529.38,1789.14
4092,2.51745E+11,Top-up,439.4,9-Nov-25,Cash,1789.14,2228.54
4093,2.51745E+11,Top-up,419.84,19-Jan-26,Bank Transfer,2228.54,2648.38
4094,2.51745E+11,Payment,2.91,26-Jan-26,Cash,2648.38,2645.47
4095,2.51745E+11,Top-up,161.4,1-Jan-26,Cash,2645.47,2806.87
4096,2.51745E+11,Top-up,26.4,3-Dec-25,Bank Transfer,2806.87,2833.27
4097,2.51745E+11,Adjustment,69.11,10-Dec-25,Cash,2833.27,2902.38
4098,2.51745E+11,Top-up,423.25,12-Nov-25,Cash,2902.38,3325.63
4099,2.51745E+11,Payment,27.74,21-Nov-25,Cash,3325.63,3297.89
4100,2.51745E+11,Monthly Bill,63,25-Jan-26,Cash,3297.89,3234.89
4101,2.51745E+11,Top-up,479.3,16-Oct-25,Bank Transfer,3234.89,3714.19
4102,2.51745E+11,Refund,8.25,27-Nov-25,Bank Transfer,3714.19,3722.44
4103,2.51745E+11,Top-up,81.51,26-Jan-26,Bank Transfer,3722.44,3803.95
4104,2.51745E+11,Top-up,484.07,20-Nov-25,M-PESA,3803.95,4288.02
4105,2.51745E+11,Top-up,374.98,29-Oct-25,Cash,4288.02,4663
4106,2.51745E+11,Top-up,169.76,2-Nov-25,Cash,4663,4832.76
4107,2.51745E+11,Adjustment,62.32,30-Dec-25,Cash,4832.76,4895.08
4108,2.51757E+11,Top-up,312.82,15-Jan-26,M-PESA,394,706.82
4109,2.51757E+11,Top-up,413.05,5-Oct-25,Cash,706.82,1119.87
4110,2.51757E+11,Payment,94.72,29-Aug-25,Cash,1119.87,1025.15
4111,2.51757E+11,Refund,46.49,15-Jan-26,Cash,1025.15,1071.64
4112,2.51757E+11,Top-up,56.61,4-Dec-25,Cash,1071.64,1128.25
4113,2.51757E+11,Top-up,82.93,15-Dec-25,Cash,1128.25,1211.18
4114,2.51757E+11,Top-up,46.17,10-Aug-25,Cash,1211.18,1257.35
4115,2.51757E+11,Top-up,237.09,16-Oct-25,Cash,1257.35,1494.44
4116,2.51757E+11,Top-up,309.88,14-Oct-25,M-PESA,1494.44,1804.32
